,pcd,oseast1m,osnrth1m,pconcd,pconnm,pconnmw
1812672,PH314AN,227722,781488,S14000094,"Inverness, Skye and West Ross-shire",
1812690,PH324BA,237718,809203,S14000094,"Inverness, Skye and West Ross-shire",
1812814,PH336FF,210498,774521,S14000094,"Inverness, Skye and West Ross-shire",
1813291,PH344DX,221026,783961,S14000094,"Inverness, Skye and West Ross-shire",
1813332,PH354HR,219422,801893,S14000094,"Inverness, Skye and West Ross-shire",
1813366,PH364LE,165286,767629,S14000067,"Argyll, Bute and South Lochaber",
1813383,PH374LU,183925,773468,S14000067,"Argyll, Bute and South Lochaber",
1813388,PH384NB,170322,778230,S14000067,"Argyll, Bute and South Lochaber",
1813397,PH394NJ,166215,786554,S14000094,"Inverness, Skye and West Ross-shire",
1813421,PH41QD,289691,709048,S14000105,Stirling and Strathallan,
1813458,PH404PF,168405,792467,S14000094,"Inverness, Skye and West Ross-shire",
1813494,PH414RA,167482,796887,S14000094,"Inverness, Skye and West Ross-shire",
1813506,PH424RL,147855,786594,S14000094,"Inverness, Skye and West Ross-shire",
1813508,PH434RR,140164,799545,S14000094,"Inverness, Skye and West Ross-shire",
1813509,PH444RS,127059,805209,S14000094,"Inverness, Skye and West Ross-shire",
1813514,PH494HN,209324,758603,S14000067,"Argyll, Bute and South Lochaber",
1813562,PH52AJ,286918,716566,S14000103,Perth and Kinross-shire,
1813605,PH504QH,218573,762079,S14000067,"Argyll, Bute and South Lochaber",
1813727,PH62JU,276619,721734,S14000103,Perth and Kinross-shire,
1813970,PH73QB,287239,721578,S14000103,Perth and Kinross-shire,
1814330,PH80JR,301681,742188,S14000065,Angus and Perthshire Glens,
1814371,PH90LH,296739,752210,S14000065,Angus and Perthshire Glens,
2351931,TD12JE,348847,636855,S14000108,"Berwickshire, Roxburgh and Selkirk",
2352394,TD106XW,371670,646723,S14000108,"Berwickshire, Roxburgh and Selkirk",
2352649,TD113SY,379164,654541,S14000108,"Berwickshire, Roxburgh and Selkirk",
2352896,TD124NT,384898,640213,S14000108,"Berwickshire, Roxburgh and Selkirk",
2353057,TD135YW,377048,670808,S14000108,"Berwickshire, Roxburgh and Selkirk",
2353308,TD145TG,393272,663525,S14000108,"Berwickshire, Roxburgh and Selkirk",
2353734,TD152FQ,399050,650676,E14001397,North Northumberland,
2354084,TD26PD,352477,648372,S14000108,"Berwickshire, Roxburgh and Selkirk",
2354210,TD36JZ,364829,645125,S14000108,"Berwickshire, Roxburgh and Selkirk",
2354335,TD46HB,357738,638801,S14000108,"Berwickshire, Roxburgh and Selkirk",
2354688,TD58BH,373619,632504,S14000108,"Berwickshire, Roxburgh and Selkirk",
2355205,TD69HD,356270,632448,S14000108,"Berwickshire, Roxburgh and Selkirk",
2355643,TD75HH,345278,627132,S14000108,"Berwickshire, Roxburgh and Selkirk",
2355887,TD86PZ,365723,620180,S14000108,"Berwickshire, Roxburgh and Selkirk",
2356873,TD99UG,350553,612355,S14000108,"Berwickshire, Roxburgh and Selkirk",
